# Gene Family	ERR1857004_Abundance-RPKs	ERR1857005_Abundance-RPKs	ERR1857006_Abundance-RPKs	ERR1857007_Abundance-RPKs	ERR1857008_Abundance-RPKs	ERR1857009_Abundance-RPKs	ERR1857010_Abundance-RPKs	ERR1857011_Abundance-RPKs	ERR1857012_Abundance-RPKs	ERR1857013_Abundance-RPKs	ERR1857014_Abundance-RPKs	ERR1857015_Abundance-RPKs	ERR1857016_Abundance-RPKs	ERR1857017_Abundance-RPKs	ERR1857018_Abundance-RPKs	ERR1857019_Abundance-RPKs	ERR1857020_Abundance-RPKs	ERR1857021_Abundance-RPKs	ERR1857022_Abundance-RPKs	ERR1857023_Abundance-RPKs	ERR1857024_Abundance-RPKs	ERR1857025_Abundance-RPKs	ERR1857026_Abundance-RPKs	ERR1857027_Abundance-RPKs	ERR1857028_Abundance-RPKs	ERR1857029_Abundance-RPKs	ERR1857030_Abundance-RPKs	ERR1857031_Abundance-RPKs	ERR1857032_Abundance-RPKs	ERR1857033_Abundance-RPKs	ERR1857034_Abundance-RPKs	ERR1857035_Abundance-RPKs	ERR1857036_Abundance-RPKs	ERR1857037_Abundance-RPKs	ERR1857038_Abundance-RPKs	ERR1857039_Abundance-RPKs	ERR1857040_Abundance-RPKs	ERR1857041_Abundance-RPKs	ERR1857042_Abundance-RPKs	ERR1857043_Abundance-RPKs	ERR1857044_Abundance-RPKs	ERR1857045_Abundance-RPKs	ERR1857046_Abundance-RPKs	ERR1857047_Abundance-RPKs	ERR1857048_Abundance-RPKs	ERR1857049_Abundance-RPKs	ERR1857050_Abundance-RPKs	ERR1857051_Abundance-RPKs	ERR1857052_Abundance-RPKs	ERR1857053_Abundance-RPKs	ERR1857054_Abundance-RPKs	ERR1857055_Abundance-RPKs	ERR1857056_Abundance-RPKs	ERR1857057_Abundance-RPKs	ERR1857058_Abundance-RPKs	ERR1857059_Abundance-RPKs	ERR1857060_Abundance-RPKs	ERR1857061_Abundance-RPKs	ERR1857062_Abundance-RPKs	ERR1857063_Abundance-RPKs	ERR1857064_Abundance-RPKs	ERR1857065_Abundance-RPKs	ERR1857066_Abundance-RPKs	ERR1857067_Abundance-RPKs	ERR1857068_Abundance-RPKs	ERR1857069_Abundance-RPKs	ERR1857070_Abundance-RPKs	ERR1857071_Abundance-RPKs	ERR1857072_Abundance-RPKs	ERR1857073_Abundance-RPKs	ERR1857074_Abundance-RPKs	ERR1857075_Abundance-RPKs	ERR1857076_Abundance-RPKs
UNMAPPED	5191089.0	8385350.0	3281383.0	5835069.0	6342293.0	7541927.0	5447982.0	6518356.0	5872443.0	18879926.0	7091305.0	5611680.0	9348641.0	7564339.0	8133036.0	5363831.0	6008454.0	8331176.0	5313302.0	6578085.0	8334111.0	6737379.0	8245017.0	9044880.0	6886502.0	15374604.0	6992682.0	7433947.0	8727477.0	7769316.0	9785818.0	7911768.0	8277550.0	10280332.0	5251190.0	6547819.0	6331718.0	9298972.0	6079336.0	8295635.0	7170725.0	9523044.0	4912537.0	9866723.0	8287895.0	8604422.0	8464764.0	7493768.0	7763584.0	7893605.0	11037808.0	5628813.0	8242991.0	12256410.0	9235691.0	10933150.0	12347517.0	10777913.0	11140487.0	1974984.0	8603564.0	9883679.0	8125450.0	8624912.0	10759406.0	8902166.0	4269934.0	6230695.0	8501548.0	15155287.0	10673448.0	10146643.0	10150190.0
UNGROUPED	25749071.262171745	53160879.48271067	11187567.640526231	33447104.913097978	28399919.00721648	22956098.811773133	28244048.566129804	23341125.00630311	18511244.85062485	40778080.93229434	29016902.806037553	25080306.086799048	36271698.96988852	27717649.999191992	24562575.003373086	21844247.397544786	25639618.85978626	29658864.269262034	25619713.237169724	45173583.60256716	32318337.395503577	31015434.64218554	50788194.2230364	36657489.06559445	23366924.45622897	46547168.56285457	27306007.11797717	31011554.46893688	40924019.99932661	21207405.4540637	41495456.46013109	36088752.96876884	34952733.30932926	30923535.78550096	22517249.363864064	26210878.439745717	28670553.390822545	38030077.06762179	26589565.28731133	41278394.758675724	36958599.55588619	28264107.441354014	18611896.579273947	31819812.337632142	27487218.314904395	26963615.881426305	32305856.083048888	28381601.026454706	22349595.846377105	33976858.41112153	26558168.111260403	25009082.731963977	37360704.60365285	35859016.42695451	24635232.589224827	48168625.86546783	42804560.26615165	47173639.56913449	41552597.80063641	6351839.710900688	34197042.001684055	39312565.36394062	30283199.877561927	35439834.4534669	39702596.091011494	30991296.805130795	17290710.64616561	23129997.54337298	30485128.37834351	47150028.29815593	32323849.914199222	35803379.5471063	36785542.7622398
"K00984: streptomycin 3""-adenylyltransferase [EC:2.7.7.47]"	0	7.685190724	0	0	0	0	0	0	0	0	0	0	0	1.2292949515	0	15.1945768113	0	8.669760397	0	0	0	0	84.9629861546	0	0	0.9058567841	0	0	0	1.2313585551	0	0	8.9291184997	0	0	6.9013494089	13.8072205915	0	0	0	0	0	0	1.6191025631	0	0	0	86.9384151415	1.5087167381	0	4.665375216	332.4712940023	0	0	0	0	17.5082362455	0	3.0576065564	132.9894685117	0	0	0	0	0	0	0	0	0	1.5550808591	1.7841693289	0	0
"K03042: DNA-directed RNA polymerase subunit A"" [EC:2.7.7.6]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1124412666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K03050: DNA-directed RNA polymerase subunit E"" [EC:2.7.7.6]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2514454127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00001: alcohol dehydrogenase [EC:1.1.1.1]	0	69.6870582478	0	7.9068989542	0	26.0019477342	0	383.3698986019	55.0505125546	0	0	0	0	6.3694267516	9.5235556612	43.278982682999995	142.1995033819	20.6691415225	0	0	23.0912504848	0	0	112.6697754538	0	85.1509381852	0	0	0	95.9171634521	0	27.4569826624	14.3134099175	0	44.7269185053	8.1967213115	14.6095712227	450.9571476127	0	22.1825592518	0	0	0	16.2865180107	0	0	30.0524973752	365.8292674868	0	0	0	0	0	10.4689000694	0	5.1972702115	0	10.5091157457	0	0	0	32.0717618482	0	0	0	0	0	25.3999015446	0	0	0	556.0580848	50.646339737
K00002: alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	67.17736277350001	269.9503999587	24.3399906932	16.599056283	37.6814068237	56.335324191599994	66.7610553231	159.8484791603	144.4484228291	83.3349116752	37.4397513337	75.9902202886	383.3528280025	23.7969878251	276.818798149	72.4349645897	49.7841367651	97.4590143787	35.9687565136	85.0561844586	30.2917427044	24.3364015201	15.4867445964	76.9555643141	40.1185537885	532.8670516555001	28.746803835999998	41.2876770648	171.17080868120001	13.2467903568	49.1594163398	1135.0429512607	149.2448542854	189.57176432929998	157.6208203799	156.8915833495	63.03706254869999	26.8625666348	193.9493588904	54.5737231509	0	152.8772084899	75.8602763551	60.0292294697	66.3013946266	15.1724400334	300.6429603627	24.7641378083	129.1407039465	67.3147788987	84.3784263817	40.947592403	101.83477513849999	147.9878426573	131.6209203131	144.49455258860002	90.546593821	52.4999929688	316.6110471998	16.3763161307	15.4306588218	263.4560578366	172.3376774951	71.7415945936	85.97863518599999	260.0390668611	30.9832785563	134.7986502944	12.1779417674	427.94351064119996	380.6246069988	306.2468423524	202.05848183950002
K00003: homoserine dehydrogenase [EC:1.1.1.3]	64.8270040418	338.9108482428	84.52001390960001	37.4803234379	45.360869573399995	487.4422979179	313.2856669406	89.3494241098	205.1676457017	1259.8918631047	169.4357771821	190.2483911759	931.3333966137	364.5397112239	170.9491998099	78.8899143035	322.18723002710004	114.3098940498	102.33578156269999	104.3599365574	80.7082530828	67.0413886737	106.2682916717	313.3149410091	157.6730784015	572.1866131736	294.5996894378	303.1159466189	89.46447810939999	188.6233452743	104.8158480211	72.562653765	701.3471269575	601.1676379672	178.2147648605	44.8137509913	33.4584473515	521.0118952685	157.80610917500002	74.518670449	488.6115099748	613.5306472476	365.48422344659997	1070.1224053797	150.9051827834	267.8213055708	808.1529555085	601.3922874292	271.2761177325	563.3388411564	456.52640357670003	235.060208182	435.0071243764	505.1186744108	301.3484036558	324.6578097953	154.8063616458	242.9634087065	244.0371654885	94.6632505577	635.1384870407	286.56903438209997	124.33448984520001	789.9364997990999	483.51922682509996	328.5067527538	114.00138011599999	570.9479455458	278.6279828222	1086.7923076473999	1398.5566414046	356.3590566534	307.3826921703
K00004: (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	0	10.5231731574	0	0	0	25.279538305	0	0	18.9663523319	0	0	0	0	0	0	0	0	0	0	0	0	0	28.9712025294	14.9865057822	0	0	0	0	0	0	0	0	0	8.9914929656	0	0	0	0	0	0	0	0	0	0	0	35.9369480224	0	0	0	0	14.4826648794	11.548084387	0	0	0	44.9512652221	0	0	34.9706631544	0	7.9017545535	0	0	0	30.8921042274	0	0	8.3840694993	0	6.7629503479	0	51.3317150243	12.9850388537
K00005: glycerol dehydrogenase [EC:1.1.1.6]	133.1599920745	1036.7448067819	46.7214056621	47.615096233399996	59.4741500108	509.9280981755	201.5517488081	692.437904328	317.2849585009	592.4704700141	89.1197983123	146.3397596551	778.0882343051001	76.1500993842	264.2785997828	146.4314374435	600.1193250934999	510.3397260342	109.8775772097	64.2752963021	191.2259297803	70.4305921456	96.9202252752	621.6862019828	93.0250879511	1284.6381686952	113.93417786660001	70.4698241083	181.3111160424	178.40665151480002	248.8969940879	271.8557307383	309.4781129988	341.2326976734	543.0192347913	225.548556147	221.68585624719998	323.5039031147	300.5698615262	153.97641745459998	48.8180924878	73.2501100369	82.0061878127	555.9160208324	155.4560022963	68.67582076080001	1200.6315610483	560.9998167447	385.2674531845	305.4438628725	361.5731410518	620.755194439	152.4962257215	330.7238668756	341.96535759069997	167.51007095650002	483.63848679480003	140.082993673	385.0177460107	38.8264156753	277.0220594211	336.9163652582	210.0599112501	122.504618268	212.4640376573	517.2773857922999	139.27100367170002	353.1469350222	113.8322484135	452.3913837274	585.3388894192	607.2949582054	458.778055229
